,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,WK,OPP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS
0,1,Amon-Ra St. Brown,DET,WR,2,CHI,0,0,0,7,0,9,115,3,0,0,0,0,39.2
1,2,Josh Allen,BUF,QB,1,BAL,394,2,0,30,2,0,0,0,0,0,0,0,38.8
2,3,Malik Nabers,NYG,WR,2,DAL,0,0,0,0,0,9,167,2,0,0,0,0,37.7
3,4,Ja'Marr Chase,CIN,WR,2,JAX,0,0,0,0,0,14,165,1,0,0,0,0,36.5
4,5,Jared Goff,DET,QB,2,CHI,334,5,0,6,0,0,0,0,0,0,0,0,34.0
5,6,Rome Odunze,CHI,WR,2,DET,0,0,0,0,0,7,128,2,0,0,0,0,31.8
6,7,Russell Wilson,NYG,QB,2,DAL,450,3,1,23,0,0,0,0,0,0,0,0,30.3
7,8,Justin Fields,NYJ,QB,1,PIT,218,1,0,48,2,0,0,0,0,0,0,0,29.5
8,9,Jonathan Taylor,IND,RB,2,DEN,0,0,0,165,0,2,50,1,0,0,0,0,29.5
9,10,Daniel Jones,IND,QB,1,MIA,272,1,0,26,2,0,0,0,0,0,0,0,29.5
10,11,Lamar Jackson,BAL,QB,1,BUF,209,2,0,70,1,0,0,0,0,0,0,0,29.4
11,12,Derrick Henry,BAL,RB,1,BUF,0,0,0,169,2,1,13,0,0,0,0,0,29.2
12,13,Wan'Dale Robinson,NYG,WR,2,DAL,0,0,0,0,0,8,142,1,0,0,0,0,28.2
13,14,Zay Flowers,BAL,WR,1,BUF,0,0,0,8,0,7,143,1,0,0,0,0,28.1
14,15,Justin Herbert,LAC,QB,1,KC,318,3,0,32,0,0,0,0,0,0,0,0,27.9
15,16,Puka Nacua,LAR,WR,2,TEN,0,0,0,45,1,8,91,0,0,0,0,0,27.6
16,17,James Cook,BUF,RB,2,NYJ,0,0,0,132,2,1,3,0,0,0,0,0,26.5
17,18,Drake Maye,NE,QB,2,MIA,230,2,0,31,1,0,0,0,0,0,0,0,26.3
18,19,Lamar Jackson,BAL,QB,2,CLE,225,4,0,13,0,0,0,0,0,0,0,0,26.3
19,20,De'Von Achane,MIA,RB,2,NE,0,0,0,30,0,8,92,1,0,0,0,0,26.2
20,21,Patrick Mahomes,KC,QB,1,LAC,258,1,0,57,1,0,0,0,0,0,0,0,26.0
21,22,Aaron Rodgers,PIT,QB,1,NYJ,244,4,0,-1,0,0,0,0,0,0,0,0,25.7
