,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 17_level_0,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
0,1,Priest Holmes,KC,RB,16,0,0,0,1420,27,74,690,0,0,0,0,0,27.8,445.0
1,2,LaDainian Tomlinson,LAC,RB,16,21,1,0,1645,13,100,725,4,0,0,0,0,27.7,443.8
2,3,Ahman Green,GB,RB,16,0,0,0,1883,15,50,367,5,0,0,0,0,24.1,385.0
3,4,Randy Moss,MIN,WR,16,0,0,0,18,0,111,1632,17,0,0,0,0,23.5,376.0
4,5,Torry Holt,LAR,WR,16,0,0,0,5,0,117,1696,12,0,0,0,0,22.4,359.1
5,6,Jamal Lewis,BAL,FB,16,0,0,0,2066,14,26,205,0,0,0,0,0,20.3,325.1
6,7,Deuce McAllister,NO,RB,16,0,0,0,1641,8,69,516,0,0,0,1,0,20.3,324.7
7,8,Clinton Portis,DEN,RB,13,0,0,0,1591,14,38,314,0,0,0,0,0,24.0,312.5
8,9,Shaun Alexander,SEA,RB,16,0,0,0,1435,14,42,295,2,0,0,0,0,19.1,305.0
9,10,Chad Johnson,CIN,WR,16,0,0,0,0,0,90,1355,10,0,0,0,0,17.8,285.5
10,11,Anquan Boldin,ARI,WR,16,0,0,1,40,0,101,1377,8,0,0,0,0,17.7,282.7
11,12,Marvin Harrison,IND,WR,15,0,0,0,3,0,94,1272,10,0,0,0,0,18.5,277.5
12,13,Hines Ward,PIT,WR,16,0,0,0,61,0,95,1163,10,0,0,0,0,17.3,277.4
13,14,Fred Taylor,JAX,RB,16,0,0,0,1572,6,48,370,1,0,0,0,0,17.3,276.2
14,15,Derrick Mason,TEN,WR,16,0,0,0,11,0,95,1303,8,0,0,0,0,17.1,274.4
15,16,Daunte Culpepper,MIN,QB,14,3479,25,11,422,4,0,0,0,0,0,0,0,19.5,273.4
16,17,Ricky Williams,MIA,RB,16,0,0,0,1372,9,50,351,1,0,0,0,0,17.0,272.3
17,18,Peyton Manning,IND,QB,16,4267,29,10,26,0,1,-2,0,0,0,0,0,16.9,270.1
18,19,Edgerrin James,IND,RB,13,0,0,0,1259,11,51,292,0,0,0,0,0,20.5,266.1
19,20,Trent Green,KC,QB,16,4039,24,12,83,2,0,0,0,0,0,0,0,15.7,251.9
20,21,Matt Hasselbeck,SEA,QB,16,3841,26,15,125,2,0,0,0,0,0,0,0,15.6,250.1
21,22,Madieu Williams,MIN,FS,16,0,0,0,745,5,65,644,3,0,0,0,0,15.6,249.9
22,23,Keenan McCardell,TB,WR,16,0,0,0,0,0,84,1174,8,0,0,0,1,15.5,247.4
23,24,Sinorice Moss,NYJ,WR,16,0,0,0,67,0,74,1105,10,0,0,0,0,15.4,247.2
24,25,Steve Smith,CAR,WR,16,0,0,0,42,0,88,1110,7,0,0,0,0,15.3,245.2
25,26,Tiki Barber,NYG,RB,16,0,0,0,1216,2,69,461,1,0,0,0,0,15.3,244.7
26,27,Terrell Owens,SF,WR,15,0,0,0,-2,0,80,1102,9,0,0,0,0,16.3,244.0
27,28,Laveranues Coles,WAS,WR,16,0,0,0,39,0,82,1204,6,0,0,1,0,15.1,242.3
28,29,Steve McNair,TEN,QB,14,3215,24,7,138,4,1,4,0,0,0,0,0,17.3,241.8
29,30,Travis Henry,BUF,RB,15,0,0,1,1356,10,28,158,1,0,0,0,0,15.8,237.4
30,31,Joe Horn,NO,WR,15,14,0,0,15,0,78,973,10,0,0,0,0,15.8,237.4
31,32,D. Jackson,SEA,WR,16,0,0,0,0,0,68,1137,9,0,0,0,0,14.6,233.7
32,33,Aaron Brooks,NO,QB,16,3546,24,8,175,2,0,0,0,0,0,0,0,14.3,229.3
33,34,Chris Chambers,MIA,WR,16,0,0,0,30,0,64,963,11,0,0,0,0,14.2,227.3
34,35,Domanick Davis,HOU,RB,14,0,0,0,1031,8,47,351,0,0,0,0,0,16.2,227.2
35,36,Jeff Garcia,SF,QB,13,2704,18,13,319,7,1,6,0,0,0,0,0,17.4,225.7
36,37,Tony Gonzalez,KC,TE,16,0,0,0,0,0,71,916,10,0,0,0,0,13.9,222.6
37,38,Brett Favre,GB,QB,16,3361,32,21,15,0,0,0,0,0,0,0,0,13.9,221.9
38,39,Marshall Faulk,LAR,RB,11,0,0,0,818,10,45,290,1,0,0,0,0,20.2,221.8
39,40,Jon Kitna,CIN,QB,16,3591,26,15,113,0,0,0,0,0,0,0,0,13.8,220.9
40,41,Michael Pittman,TB,RB,16,0,0,0,751,0,75,597,2,0,0,0,0,13.7,219.8
41,42,Donovan McNabb,PHI,QB,16,3216,16,11,355,3,1,-7,0,0,0,0,0,13.7,218.4
42,43,Marc Bulger,LAR,QB,15,3845,22,22,75,4,0,0,0,0,0,0,0,14.5,217.3
43,44,P. Warrick,CIN,WR,15,0,0,0,157,0,79,819,7,0,0,0,0,14.4,216.6
44,45,Stephen Davis,CAR,RB,14,0,0,0,1444,8,14,159,0,0,0,0,0,15.5,216.3
45,46,Brad Johnson,TB,QB,16,3811,26,21,33,0,0,-2,0,0,0,0,0,13.5,215.5
46,47,Tom Brady,NE,QB,16,3620,23,12,63,1,0,0,0,0,0,0,0,13.4,215.1
47,48,Curtis Martin,NYJ,RB,16,0,0,0,1308,2,42,262,0,0,0,0,0,12.9,207.0
48,49,Kevan Barlow,SF,RB,16,0,0,0,1024,6,35,307,1,0,0,0,0,12.6,202.1
49,50,Isaac Bruce,LAR,WR,15,66,0,0,17,0,69,981,5,0,0,0,0,13.4,201.4
50,51,D. Boston,LAC,WR,14,0,0,0,18,0,70,880,7,0,0,0,0,14.3,199.8
51,52,Korey Toomer,NYG,WR,16,0,0,0,5,0,63,1057,5,0,0,0,0,12.4,199.2
52,53,Ray Lewis,BAL,LB,16,0,0,0,0,0,0,0,0,2,6,2,2,12.3,196.1
53,54,Reggie Wayne,IND,WR,16,0,0,0,0,0,68,838,7,0,0,1,0,12.1,193.8
54,55,Brian Westbrook,PHI,RB,15,0,0,0,613,7,37,332,4,0,0,0,0,12.9,193.5
55,56,Quincy Carter,DAL,QB,16,3302,17,21,257,2,0,0,0,0,0,0,0,11.9,189.8
56,57,Rod Smith,DEN,WR,15,72,0,0,98,0,74,845,3,0,0,1,0,12.6,189.2
57,58,S. Sharpe,DEN,TE,15,0,0,0,0,0,62,770,8,0,0,0,0,12.5,187.0
